Time (ms),Soma Voltage (mV)
735.8250000004855,-69.71288904123936
735.8500000004856,-69.71287211685727
735.8750000004857,-69.71285519370646
735.9000000004858,-69.71283827178684
735.9250000004859,-69.71282135109831
735.9500000004859,-69.7128044316408
735.975000000486,-69.71278751341421
736.0000000004861,-69.71277059641844
736.0250000004862,-69.7127536806534
736.0500000004863,-69.71273676611901
736.0750000004864,-69.71271985281517
736.1000000004865,-69.71270294074179
736.1250000004866,-69.71268602989878
736.1500000004867,-69.71266912028605
736.1750000004868,-69.71265221190352
736.2000000004869,-69.71263530475107
736.225000000487,-69.71261839882864
736.250000000487,-69.71260149413611
736.2750000004871,-69.71258459067342
736.3000000004872,-69.71256768844044
736.3250000004873,-69.71255078743712
736.3500000004874,-69.71253388766335
736.3750000004875,-69.71251698911905
736.4000000004876,-69.71250009180412
736.4250000004877,-69.71248319571846
736.4500000004878,-69.71246630086199
736.4750000004879,-69.71244940723462
736.500000000488,-69.71243251483625
736.525000000488,-69.7124156236668
736.5500000004881,-69.71239873372618
736.5750000004882,-69.71238184501428
736.6000000004883,-69.71236495753104
736.6250000004884,-69.71234807127634
736.6500000004885,-69.71233118625011
736.6750000004886,-69.71231430245226
736.7000000004887,-69.71229741988267
736.7250000004888,-69.71228053854128
736.7500000004889,-69.71226365842799
736.775000000489,-69.7122467795427
736.800000000489,-69.71222990188532
736.8250000004891,-69.71221302545578
736.8500000004892,-69.71219615025397
736.8750000004893,-69.71217927627981
736.9000000004894,-69.7121624035332
736.9250000004895,-69.71214553201405
736.9500000004896,-69.71212866172228
736.9750000004897,-69.71211179265778
737.0000000004898,-69.71209492482048
737.0250000004899,-69.71207805821028
737.05000000049,-69.7120611928271
737.07500000049,-69.71204432867081
737.1000000004901,-69.71202746574137
737.1250000004902,-69.71201060403867
737.1500000004903,-69.7119937435626
737.1750000004904,-69.7119768843131
737.2000000004905,-69.71196002629007
737.2250000004906,-69.71194316949341
737.2500000004907,-69.71192631392303
737.2750000004908,-69.71190945957885
737.3000000004909,-69.71189260646076
737.325000000491,-69.7118757545687
737.350000000491,-69.71185890390255
737.3750000004911,-69.71184205446224
737.4000000004912,-69.71182520624765
737.4250000004913,-69.71180835925873
737.4500000004914,-69.71179151349536
737.4750000004915,-69.71177466895746
737.5000000004916,-69.71175782564494
737.5250000004917,-69.7117409835577
737.5500000004918,-69.71172414269567
737.5750000004919,-69.71170730305874
737.600000000492,-69.71169046464684
737.625000000492,-69.71167362745985
737.6500000004921,-69.71165679149769
737.6750000004922,-69.71163995676028
737.7000000004923,-69.71162312324753
737.7250000004924,-69.71160629095934
737.7500000004925,-69.71158945989562
737.7750000004926,-69.71157263005628
737.8000000004927,-69.71155580144124
737.8250000004928,-69.7115389740504
737.8500000004929,-69.71152214788367
737.875000000493,-69.71150532294097
737.900000000493,-69.71148849922218
737.9250000004931,-69.71147167672724
737.9500000004932,-69.71145485545605
737.9750000004933,-69.71143803540852
738.0000000004934,-69.71142121658455
738.0250000004935,-69.71140439898407
738.0500000004936,-69.71138758260697
738.0750000004937,-69.71137076745318
738.1000000004938,-69.71135395352259
738.1250000004939,-69.71133714081512
738.150000000494,-69.71132032933066
738.175000000494,-69.71130351906915
738.2000000004941,-69.71128671003048
738.2250000004942,-69.71126990221457
738.2500000004943,-69.71125309562132
738.2750000004944,-69.71123629025064
738.3000000004945,-69.71121948610245
738.3250000004946,-69.71120268317665
738.3500000004947,-69.71118588147316
738.3750000004948,-69.71116908099188
738.4000000004949,-69.71115228173272
738.425000000495,-69.7111354836956
738.450000000495,-69.71111868688043
738.4750000004951,-69.7111018912871
738.5000000004952,-69.71108509691554
738.5250000004953,-69.71106830376564
738.5500000004954,-69.71105151183733
738.5750000004955,-69.7110347211305
738.6000000004956,-69.71101793164509
738.6250000004957,-69.71100114338097
738.6500000004958,-69.71098435633807
738.6750000004959,-69.71096757051632
738.700000000496,-69.7109507859156
738.725000000496,-69.71093400253582
738.7500000004961,-69.71091722037691
738.7750000004962,-69.71090043943877
738.8000000004963,-69.7108836597213
738.8250000004964,-69.71086688122443
738.8500000004965,-69.71085010394806
738.8750000004966,-69.71083332789209
738.9000000004967,-69.71081655305645
738.9250000004968,-69.71079977944103
738.9500000004969,-69.71078300704575
738.975000000497,-69.71076623587051
739.000000000497,-69.71074946591523
739.0250000004971,-69.71073269717982
739.0500000004972,-69.71071592966419
739.0750000004973,-69.71069916336825
739.1000000004974,-69.71068239829191
739.1250000004975,-69.71066563443507
739.1500000004976,-69.71064887179766
739.1750000004977,-69.71063211037956
739.2000000004978,-69.71061535018072
739.2250000004979,-69.710598591201
739.250000000498,-69.71058183344036
739.275000000498,-69.71056507689867
739.3000000004981,-69.71054832157587
739.3250000004982,-69.71053156747185
739.3500000004983,-69.71051481458653
739.3750000004984,-69.71049806291981
739.4000000004985,-69.71048131247161
739.4250000004986,-69.71046456324184
739.4500000004987,-69.71044781523041
739.4750000004988,-69.71043106843722
739.5000000004989,-69.71041432286219
739.525000000499,-69.71039757850524
739.550000000499,-69.71038083536625
739.5750000004991,-69.71036409344515
739.6000000004992,-69.71034735274185
739.6250000004993,-69.71033061325626
739.6500000004994,-69.71031387498829
739.6750000004995,-69.71029713793784
739.7000000004996,-69.71028040210484
739.7250000004997,-69.71026366748919
739.7500000004998,-69.71024693409079
739.7750000004999,-69.71023020190955
739.8000000005,-69.71021347094539
739.8250000005,-69.71019674119822
739.8500000005001,-69.71018001266795
739.8750000005002,-69.71016328535448
739.9000000005003,-69.71014655925774
739.9250000005004,-69.71012983437763
739.9500000005005,-69.71011311071405
739.9750000005006,-69.71009638826692
740.0000000005007,-69.71007966703615
740.0250000005008,-69.71006294702165
740.0500000005009,-69.71004622822335
740.075000000501,-69.71002951064112
740.100000000501,-69.7100127942749
740.1250000005011,-69.7099960791246
740.1500000005012,-69.7099793651901
740.1750000005013,-69.70996265247133
740.2000000005014,-69.70994594096821
740.2250000005015,-69.70992923068064
740.2500000005016,-69.70991252160853
740.2750000005017,-69.70989581375179
740.3000000005018,-69.70987910711032
740.3250000005019,-69.70986240168406
740.350000000502,-69.7098456974729
740.375000000502,-69.70982899447677
740.4000000005021,-69.70981229269555
740.4250000005022,-69.70979559212915
740.4500000005023,-69.7097788927775
740.4750000005024,-69.70976219464052
740.5000000005025,-69.70974549771809
740.5250000005026,-69.70972880201013
740.5500000005027,-69.70971210751657
740.5750000005028,-69.7096954142373
740.6000000005029,-69.70967872217224
740.625000000503,-69.7096620313213
740.650000000503,-69.70964534168438
740.6750000005031,-69.70962865326139
740.7000000005032,-69.70961196605225
740.7250000005033,-69.70959528005687
740.7500000005034,-69.70957859527516
740.7750000005035,-69.70956191170703
740.8000000005036,-69.70954522935239
740.8250000005037,-69.70952854821114
740.8500000005038,-69.7095118682832
740.8750000005039,-69.70949518956849
740.900000000504,-69.70947851206691
740.925000000504,-69.70946183577837
740.9500000005041,-69.70944516070278
740.9750000005042,-69.70942848684005
741.0000000005043,-69.7094118141901
741.0250000005044,-69.70939514275284
741.0500000005045,-69.70937847252816
741.0750000005046,-69.70936180351599
741.1000000005047,-69.70934513571623
741.1250000005048,-69.70932846912879
741.1500000005049,-69.7093118037536
741.175000000505,-69.70929513959054
741.200000000505,-69.70927847663954
741.2250000005051,-69.70926181490051
741.2500000005052,-69.70924515437336
741.2750000005053,-69.709228495058
741.3000000005054,-69.70921183695434
741.3250000005055,-69.70919518006228
741.3500000005056,-69.70917852438174
741.3750000005057,-69.70916186991263
741.4000000005058,-69.70914521665487
741.4250000005059,-69.70912856460836
741.450000000506,-69.70911191377301
741.475000000506,-69.70909526414874
741.5000000005061,-69.70907861573545
741.5250000005062,-69.70906196853305
741.5500000005063,-69.70904532254146
741.5750000005064,-69.70902867776059
741.6000000005065,-69.70901203419034
741.6250000005066,-69.70899539183063
741.6500000005067,-69.70897875068137
741.6750000005068,-69.70896211074246
741.7000000005069,-69.70894547201382
741.725000000507,-69.70892883449537
741.750000000507,-69.708912198187
741.7750000005071,-69.70889556308863
741.8000000005072,-69.70887892920017
741.8250000005073,-69.70886229652153
741.8500000005074,-69.70884566505264
741.8750000005075,-69.70882903479338
741.9000000005076,-69.70881240574369
741.9250000005077,-69.70879577790345
741.9500000005078,-69.7087791512726
741.9750000005079,-69.70876252585103
742.000000000508,-69.70874590163865
742.025000000508,-69.70872927863539
742.0500000005081,-69.70871265684114
742.0750000005082,-69.70869603625583
742.1000000005083,-69.70867941687935
742.1250000005084,-69.70866279871161
742.1500000005085,-69.70864618175256
742.1750000005086,-69.70862956600206
742.2000000005087,-69.70861295146005
742.2250000005088,-69.70859633812644
742.2500000005089,-69.70857972600113
742.275000000509,-69.70856311508405
742.300000000509,-69.70854650537508
742.3250000005091,-69.70852989687417
742.3500000005092,-69.70851328958119
742.3750000005093,-69.70849668349608
742.4000000005094,-69.70848007861875
742.4250000005095,-69.70846347494908
742.4500000005096,-69.70844687248702
742.4750000005097,-69.70843027123246
742.5000000005098,-69.70841367118531
742.5250000005099,-69.70839707234549
742.55000000051,-69.7083804747129
742.57500000051,-69.70836387828746
742.6000000005101,-69.70834728306907
742.6250000005102,-69.70833068905766
742.6500000005103,-69.70831409625313
742.6750000005104,-69.70829750465539
742.7000000005105,-69.70828091426435
742.7250000005106,-69.70826432507992
742.7500000005107,-69.70824773710203
742.7750000005108,-69.70823115033056
742.8000000005109,-69.70821456476544
742.825000000511,-69.70819798040658
742.850000000511,-69.70818139725388
742.8750000005111,-69.70816481530727
742.9000000005112,-69.70814823456664
742.9250000005113,-69.7081316550319
742.9500000005114,-69.708115076703
742.9750000005115,-69.7080984995798
743.0000000005116,-69.70808192366225
743.0250000005117,-69.70806534895024
743.0500000005118,-69.7080487754437
743.0750000005119,-69.70803220314252
743.100000000512,-69.70801563204662
743.125000000512,-69.7079990621559
743.1500000005121,-69.7079824934703
743.1750000005122,-69.7079659259897
743.2000000005123,-69.70794935971402
743.2250000005124,-69.70793279464317
743.2500000005125,-69.70791623077707
743.2750000005126,-69.70789966811563
743.3000000005127,-69.70788310665876
743.3250000005128,-69.70786654640636
743.3500000005129,-69.70784998735836
743.375000000513,-69.70783342951465
743.400000000513,-69.70781687287516
743.4250000005131,-69.70780031743978
743.4500000005132,-69.70778376320844
743.4750000005133,-69.70776721018105
743.5000000005134,-69.70775065835751
743.5250000005135,-69.70773410773775
743.5500000005136,-69.70771755832166
743.5750000005137,-69.70770101010918
743.6000000005138,-69.70768446310018
743.6250000005139,-69.7076679172946
743.650000000514,-69.70765137269235
743.675000000514,-69.70763482929334
743.7000000005141,-69.70761828709747
743.7250000005142,-69.70760174610466
743.7500000005143,-69.70758520631482
743.7750000005144,-69.70756866772786
743.8000000005145,-69.70755213034369
743.8250000005146,-69.70753559416221
743.8500000005147,-69.70751905918335
743.8750000005148,-69.70750252540702
743.9000000005149,-69.70748599283313
743.925000000515,-69.70746946146159
743.950000000515,-69.70745293129231
743.9750000005151,-69.7074364023252
744.0000000005152,-69.70741987456017
744.0250000005153,-69.70740334799714
744.0500000005154,-69.70738682263601
744.0750000005155,-69.7073702984767
744.1000000005156,-69.70735377551912
744.1250000005157,-69.70733725376317
744.1500000005158,-69.70732073320877
744.1750000005159,-69.70730421385585
744.200000000516,-69.7072876957043
744.225000000516,-69.70727117875403
744.2500000005161,-69.70725466300495
744.2750000005162,-69.70723814845698
